"Num_Acc","an","mois","jour","lum","agg","dep"
"201800000701",18,8,17,"1","1",560
"201800000702",18,10,25,"3","1",560
"201800000703",18,11,2,"1","1",560
"201800000704",18,6,18,"1","2",560
"201800000705",18,1,14,"3","1",140
"201800000706",18,5,2,"1","1",140
"201800000707",18,6,25,"1","1",140
"201800000708",18,10,31,"1","1",140
"201800000709",18,1,10,"5","2",140
"201800000710",18,1,11,"5","2",140
"201800000711",18,2,17,"3","1",140
"201800000712",18,3,19,"3","1",140
"201800000713",18,3,29,"2","1",140
"201800000714",18,4,16,"1","1",140
"201800000715",18,4,18,"1","2",140
"201800000716",18,5,18,"1","1",140
"201800000717",18,7,23,"3","1",140
"201800000718",18,9,12,"1","1",140
"201800000720",18,1,30,"1","1",140
"201800000721",18,4,16,"1","2",140
"201800000722",18,4,24,"1","2",140
"201800000723",18,7,1,"1","1",140
"201800000724",18,9,28,"3","1",140
"201800000725",18,10,2,"5","2",140
"201800000726",18,3,13,"3","1",140
"201800000727",18,3,26,"1","1",140
"201800000728",18,4,28,"1","1",140
"201800000729",18,6,12,"1","2",140
"201800000730",18,6,23,"1","2",140
